country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",17-11-2025 09:00,25.5626095,84.663264,SO2,9,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",17-11-2025 09:00,25.5626095,84.663264,OZONE,5,15,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",17-11-2025 09:00,24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",17-11-2025 09:00,24.75746,84.366208,SO2,11,14,13
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",17-11-2025 09:00,25.42742023,86.13886079,NH3,5,5,5
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",17-11-2025 09:00,25.42742023,86.13886079,OZONE,23,189,52
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",17-11-2025 09:00,14.675886,77.593027,SO2,17,17,17
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",17-11-2025 09:00,14.675886,77.593027,CO,31,60,41
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",17-11-2025 09:00,13.20488,79.097889,SO2,6,34,16
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",17-11-2025 09:00,14.465052,78.824187,PM10,56,56,56
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",17-11-2025 09:00,14.465052,78.824187,SO2,10,10,10
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",17-11-2025 09:00,14.465052,78.824187,CO,38,44,40
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",17-11-2025 09:00,26.181742,91.78063,CO,24,84,51
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",17-11-2025 09:00,26.349082,92.68449,NO2,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",17-11-2025 09:00,26.349082,92.68449,OZONE,8,9,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",17-11-2025 09:00,26.446912,91.439057,NO2,10,20,16
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",17-11-2025 09:00,26.446912,91.439057,CO,14,30,21
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",17-11-2025 09:00,13.67,79.35,OZONE,24,287,122
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",17-11-2025 09:00,16.536107,80.594233,SO2,16,21,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",17-11-2025 09:00,16.536107,80.594233,CO,20,20,20
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",17-11-2025 09:00,16.509717,80.612222,PM2.5,67,80,74
India,Assam,Guwahati,"IITG, Guwahati - PCBA",17-11-2025 09:00,26.2028636,91.70046436,SO2,22,25,24
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",17-11-2025 09:00,26.10887,91.589544,PM10,39,92,72
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",17-11-2025 09:00,26.10887,91.589544,NO2,14,62,17
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",17-11-2025 09:00,26.10887,91.589544,CO,16,36,30
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",17-11-2025 09:00,26.987634,94.636574,NO2,16,34,25
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",17-11-2025 09:00,26.146529,87.454184,CO,26,34,33
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",17-11-2025 09:00,16.5150833,80.5181667,PM2.5,79,157,114
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",17-11-2025 09:00,16.5150833,80.5181667,SO2,8,32,10
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17-11-2025 09:00,17.72,83.3,OZONE,71,178,118
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",17-11-2025 09:00,16.554731,80.64911,NO2,10,10,10
India,Assam,Guwahati,"IITG, Guwahati - PCBA",17-11-2025 09:00,26.2028636,91.70046436,PM10,36,95,67
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",17-11-2025 09:00,25.599486,85.113666,OZONE,11,60,27
India,Bihar,Patna,"Samanpura, Patna - BSPCB",17-11-2025 09:00,25.596727,85.085624,PM2.5,86,324,251
India,Bihar,Patna,"Samanpura, Patna - BSPCB",17-11-2025 09:00,25.596727,85.085624,PM10,83,231,153
India,Bihar,Patna,"Samanpura, Patna - BSPCB",17-11-2025 09:00,25.596727,85.085624,NO2,41,50,45
India,Bihar,Patna,"Samanpura, Patna - BSPCB",17-11-2025 09:00,25.596727,85.085624,NH3,6,7,6
India,Bihar,Patna,"Samanpura, Patna - BSPCB",17-11-2025 09:00,25.596727,85.085624,CO,16,87,35
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",17-11-2025 09:00,25.366336,87.117468,SO2,13,16,15
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",17-11-2025 09:00,25.366336,87.117468,OZONE,22,44,25
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",17-11-2025 09:00,25.0328,85.41948,OZONE,30,35,33
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",17-11-2025 09:00,25.892357,86.590325,OZONE,1,12,10
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",17-11-2025 09:00,25.859655,85.77944,PM10,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",17-11-2025 09:00,25.7808257,84.7446768,SO2,19,24,20
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",17-11-2025 09:00,24.7955,84.9994,PM2.5,79,311,160
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",17-11-2025 09:00,24.7955,84.9994,NO2,9,9,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",17-11-2025 09:00,24.792403,84.992416,PM10,115,362,182
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",17-11-2025 09:00,24.762518,84.982348,PM2.5,43,58,48
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",17-11-2025 09:00,24.762518,84.982348,NO2,18,21,20
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",17-11-2025 09:00,24.762518,84.982348,NH3,2,3,3
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",17-11-2025 09:00,24.762518,84.982348,SO2,8,16,9
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",17-11-2025 09:00,26.80365,84.51954,SO2,1,10,5
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",17-11-2025 09:00,25.251013,86.989001,NH3,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",17-11-2025 09:00,25.251013,86.989001,SO2,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",17-11-2025 09:00,25.265194,87.012947,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",17-11-2025 09:00,25.265194,87.012947,NH3,6,11,8
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",17-11-2025 09:00,25.204762,85.51496,CO,31,56,41
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",17-11-2025 09:00,26.1403345,85.3650192,PM10,62,69,66
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",17-11-2025 09:00,26.1403345,85.3650192,NH3,1,1,1
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",17-11-2025 09:00,26.1209,85.3647,NO2,6,15,10
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",17-11-2025 09:00,26.1209,85.3647,CO,8,50,10
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",17-11-2025 09:00,26.1209,85.3647,OZONE,8,58,10
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",17-11-2025 09:00,25.586562,85.043586,PM2.5,91,238,164
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",17-11-2025 09:00,24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",17-11-2025 09:00,26.2271665,84.3570427,PM10,32,121,68
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",17-11-2025 09:00,26.2271665,84.3570427,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",17-11-2025 09:00,26.2271665,84.3570427,CO,61,141,126
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",17-11-2025 09:00,30.735567,76.775714,PM2.5,62,290,152
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",17-11-2025 09:00,25.586562,85.043586,NO2,56,100,69
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",17-11-2025 09:00,25.592539,85.227158,PM10,88,248,134
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",17-11-2025 09:00,25.610369,85.132568,PM2.5,82,223,143
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",17-11-2025 09:00,25.610369,85.132568,NO2,5,18,15
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",17-11-2025 09:00,25.610369,85.132568,SO2,8,28,24
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",17-11-2025 09:00,21.194815,81.31477,PM10,52,99,72
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",17-11-2025 09:00,21.194815,81.31477,NH3,1,4,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",17-11-2025 09:00,21.224231,81.40835,CO,13,58,37
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",17-11-2025 09:00,24.762518,84.982348,CO,18,47,45
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",17-11-2025 09:00,24.762518,84.982348,OZONE,12,37,15
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",17-11-2025 09:00,25.697189,85.2459,NO2,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",17-11-2025 09:00,26.0881305,87.93840336,PM10,36,228,132
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",17-11-2025 09:00,26.0881305,87.93840336,OZONE,16,18,16
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",17-11-2025 09:00,21.258815,81.578979,SO2,4,9,7
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",17-11-2025 09:00,21.219665,81.630094,PM10,51,89,75
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",17-11-2025 09:00,21.219665,81.630094,NO2,18,44,27
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",17-11-2025 09:00,21.219665,81.630094,SO2,5,14,7
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",17-11-2025 09:00,21.219665,81.630094,OZONE,3,13,3
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",17-11-2025 09:00,21.237755,81.705301,PM2.5,17,28,22
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",17-11-2025 09:00,21.237755,81.705301,NO2,19,25,22
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",17-11-2025 09:00,21.237755,81.705301,CO,24,36,34
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",17-11-2025 09:00,21.371751,81.664929,NH3,3,3,3
India,Delhi,Delhi,"DTU, Delhi - CPCB",17-11-2025 09:00,28.7500499,77.1112615,NO2,35,52,38
India,Delhi,Delhi,"DTU, Delhi - CPCB",17-11-2025 09:00,28.7500499,77.1112615,NH3,13,16,14
India,Delhi,Delhi,"DTU, Delhi - CPCB",17-11-2025 09:00,28.7500499,77.1112615,SO2,32,34,33
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",17-11-2025 09:00,28.498571,77.26484,PM2.5,240,424,357
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",17-11-2025 09:00,28.498571,77.26484,SO2,22,40,29
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",17-11-2025 09:00,28.5710274,77.0719006,NH3,15,22,19
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",17-11-2025 09:00,28.5710274,77.0719006,OZONE,5,178,6
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",17-11-2025 09:00,28.6811736,77.3025234,PM10,179,341,268
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",17-11-2025 09:00,28.73282,77.170633,CO,40,123,102
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",17-11-2025 09:00,28.588333,77.221667,NO2,15,191,84
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",17-11-2025 09:00,28.5918245,77.2273074,CO,41,86,72
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",17-11-2025 09:00,28.611281,77.237738,NH3,9,20,17
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",17-11-2025 09:00,28.611281,77.237738,SO2,19,51,29
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",17-11-2025 09:00,28.611281,77.237738,CO,28,133,112
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",17-11-2025 09:00,22.118125,83.140608,CO,32,51,35
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",17-11-2025 09:00,22.368195,82.746431,SO2,7,17,11
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",17-11-2025 09:00,22.348441,82.549611,PM2.5,54,72,55
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",17-11-2025 09:00,22.348441,82.549611,PM10,72,73,72
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",17-11-2025 09:00,22.348441,82.549611,NH3,1,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",17-11-2025 09:00,22.12665,83.483212,SO2,2,22,11
India,Delhi,Delhi,"Bawana, Delhi - DPCC",17-11-2025 09:00,28.7762,77.051074,SO2,6,30,15
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",17-11-2025 09:00,28.7256504,77.2011573,CO,28,113,88
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",17-11-2025 09:00,28.5512005,77.2735737,PM10,138,401,292
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",17-11-2025 09:00,28.656756,77.227234,OZONE,5,97,6
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",17-11-2025 09:00,28.6811736,77.3025234,OZONE,21,36,24
India,Delhi,Delhi,"ITO, Delhi - CPCB",17-11-2025 09:00,28.628624,77.24106,PM10,139,426,310
India,Delhi,Delhi,"ITO, Delhi - CPCB",17-11-2025 09:00,28.628624,77.24106,NO2,28,149,80
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",17-11-2025 09:00,28.73282,77.170633,PM10,199,448,387
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",17-11-2025 09:00,28.636429,77.201067,PM10,NA,NA,NA
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",17-11-2025 09:00,28.570173,76.933762,PM10,146,344,203
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",17-11-2025 09:00,28.570173,76.933762,CO,38,74,66
India,Delhi,Delhi,"Narela, Delhi - DPCC",17-11-2025 09:00,28.822836,77.101981,PM10,174,459,341
India,Delhi,Delhi,"Alipur, Delhi - DPCC",17-11-2025 09:00,28.815329,77.15301,OZONE,7,79,7
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",17-11-2025 09:00,28.647622,77.315809,OZONE,5,19,8
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",17-11-2025 09:00,22.118125,83.140608,NH3,6,6,6
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",17-11-2025 09:00,23.023389,72.515201,SO2,4,34,10
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",17-11-2025 09:00,23.076793,72.627874,PM2.5,32,124,71
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",17-11-2025 09:00,23.076793,72.627874,NH3,4,7,6
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",17-11-2025 09:00,23.163798,72.677768,NH3,3,10,5
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",17-11-2025 09:00,23.163798,72.677768,CO,31,69,48
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",17-11-2025 09:00,23.163798,72.677768,OZONE,2,125,40
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",17-11-2025 09:00,23.243639,72.68994,NH3,2,3,3
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",17-11-2025 09:00,23.243639,72.68994,CO,18,105,81
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",17-11-2025 09:00,23.243639,72.68994,OZONE,5,50,5
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",17-11-2025 09:00,23.221714,72.654328,PM2.5,53,107,74
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",17-11-2025 09:00,23.221714,72.654328,PM10,50,114,86
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",17-11-2025 09:00,28.531346,77.190156,OZONE,1,154,3
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",17-11-2025 09:00,28.672342,77.31526,NO2,29,132,77
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",17-11-2025 09:00,28.672342,77.31526,NH3,10,12,11
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",17-11-2025 09:00,28.699793,77.165453,NO2,48,145,96
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",17-11-2025 09:00,28.699793,77.165453,OZONE,8,212,10
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",17-11-2025 09:00,23.107969,72.574648,NO2,11,107,44
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",17-11-2025 09:00,23.107969,72.574648,CO,4,105,35
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",17-11-2025 09:00,22.977134,72.553024,PM2.5,73,177,117
