PayrollID,EmployeeID,Month,BasicPay,Bonus
1,440,2023-10-01,30163,3017
2,334,2024-06-01,40314,1307
3,12,2023-02-01,67725,8303
4,1347,2023-06-01,35507,11298
5,1852,2023-07-01,38070,5819
6,401,2023-04-01,68287,1755
7,1697,2024-02-01,26559,5866
8,1059,2023-07-01,56650,8412
9,1821,2023-11-01,61768,4357
10,1141,2024-02-01,54576,9446
11,273,2024-06-01,38935,14598
12,38,2023-02-01,74355,8427
13,586,2024-02-01,20210,8161
14,70,2023-06-01,42866,11398
15,1684,2023-01-01,65453,1310
16,1344,2023-11-01,40884,9973
17,1299,2024-06-01,49828,9469
18,509,2024-06-01,78258,8991
19,1746,2023-06-01,40404,11979
20,154,2024-08-01,79722,12862
21,872,2023-11-01,62563,13455
22,1403,2023-01-01,68598,12286
23,690,2023-10-01,64049,1892
24,1173,2023-05-01,73461,11412
25,906,2024-06-01,73873,12539
26,1319,2023-03-01,72823,12038
27,1087,2024-11-01,51593,11818
28,1696,2024-06-01,62489,3465
29,63,2024-03-01,74537,5010
30,1330,2023-11-01,78585,9553
31,1005,2023-04-01,44837,11159
32,264,2024-12-01,48830,7826
33,1517,2023-05-01,53463,5906
34,1320,2024-02-01,55661,8445
35,184,2024-10-01,46309,2434
36,538,2023-09-01,44416,5224
37,59,2023-02-01,15384,13385
38,1058,2024-02-01,35576,1323
39,1666,2024-11-01,16456,3879
40,187,2023-03-01,49000,11879
41,1383,2024-01-01,27035,9278
42,1102,2024-11-01,30113,9047
43,678,2024-03-01,75428,3657
44,71,2023-09-01,49405,7159
45,1474,2023-08-01,77304,8223
46,1396,2023-07-01,77571,11047
47,877,2024-08-01,20017,2861
48,1896,2024-04-01,55222,12829
49,1942,2023-02-01,74539,8926
50,675,2023-05-01,62835,7841
51,881,2023-12-01,55273,10408
52,222,2023-07-01,52143,6114
53,1427,2024-06-01,79453,13098
54,85,2024-10-01,56523,4785
55,1847,2024-08-01,51311,8339
56,621,2024-08-01,37839,1055
57,292,2023-03-01,54215,4867
58,155,2023-04-01,78024,7767
59,738,2023-01-01,24494,8370
60,794,2023-07-01,74273,7419
61,1541,2024-06-01,62562,9703
62,642,2024-01-01,26315,11408
63,635,2023-04-01,48997,7629
64,1374,2023-01-01,23122,11482
65,1746,2023-10-01,67838,8458
66,1344,2024-01-01,50509,7996
67,1930,2023-11-01,33387,8695
68,22,2024-12-01,71566,8387
69,1171,2023-01-01,51880,3124
70,442,2024-05-01,38687,4307
71,95,2023-04-01,66728,4754
72,467,2023-07-01,18022,7756
73,664,2023-07-01,21714,3409
74,800,2023-03-01,50198,4959
75,5,2023-10-01,62984,3167
76,1938,2024-06-01,26730,6570
77,701,2024-05-01,69487,3500
78,1650,2024-02-01,55086,6032
79,1135,2024-02-01,56653,9645
80,1874,2023-10-01,44868,9534
81,188,2024-10-01,33797,13404
82,357,2023-08-01,33980,2524
83,1537,2024-09-01,44572,8574
84,1188,2024-10-01,51490,8766
85,409,2024-01-01,62188,3890
86,312,2023-02-01,32634,13317
87,1702,2024-10-01,77112,3627
88,753,2023-03-01,58143,8089
89,1964,2023-01-01,68853,9614
90,744,2024-12-01,52177,5503
91,1173,2024-08-01,55314,11552
92,1289,2023-05-01,33030,10463
93,855,2024-06-01,40756,6824
94,1694,2023-11-01,46231,6433
95,829,2024-11-01,33532,13025
96,222,2023-02-01,22799,6195
97,51,2024-12-01,79994,11456
98,1263,2023-07-01,65844,10910
99,1528,2024-08-01,18139,5051
100,1292,2024-05-01,73636,10462
101,1742,2024-10-01,66874,4204
102,287,2023-03-01,52823,11748
103,1879,2024-02-01,37675,7419
104,1042,2024-04-01,26640,1608
105,688,2024-08-01,53865,13547
106,1649,2024-08-01,35507,1893
107,1761,2023-03-01,62315,2003
108,139,2024-11-01,72105,12867
109,1737,2023-03-01,45667,9943
110,1195,2024-02-01,71055,5501
111,1604,2024-08-01,77327,7857
112,1709,2024-03-01,65083,4231
113,884,2024-12-01,71640,9330
114,413,2024-02-01,46478,1515
115,1494,2023-03-01,54501,12866
116,345,2024-02-01,47723,4330
117,1939,2023-11-01,43188,8539
118,1136,2023-05-01,17593,8845
119,1482,2024-07-01,25736,7537
120,878,2023-01-01,65402,6143
121,1286,2023-06-01,45019,9447
122,455,2023-01-01,53544,14540
123,312,2023-06-01,45783,4297
124,544,2023-01-01,19035,8184
125,900,2024-03-01,53473,11940
126,1072,2024-04-01,61410,5392
127,1280,2024-06-01,33081,5041
128,474,2024-03-01,23064,12247
129,885,2023-12-01,34090,12647
130,595,2024-04-01,38196,13628
131,225,2023-11-01,41440,3159
132,164,2024-10-01,23513,13238
133,1120,2023-07-01,47478,4821
134,1067,2024-03-01,61600,13739
135,1036,2023-02-01,16738,4250
136,211,2023-12-01,79375,13977
137,570,2024-02-01,77854,7235
138,120,2024-02-01,44436,7402
139,615,2024-05-01,36754,9904
140,1112,2024-07-01,75965,1651
141,1650,2023-10-01,15402,10856
142,1642,2024-10-01,25818,13456
143,1377,2023-03-01,54118,7807
144,1282,2023-08-01,47647,4718
145,740,2024-02-01,40236,9111
146,1768,2023-08-01,26013,9990
147,424,2024-10-01,51177,7755
148,1325,2024-05-01,26983,11801
149,245,2023-03-01,27879,14664
150,1651,2024-05-01,71273,8966
151,1089,2024-12-01,53674,10534
152,1423,2023-12-01,41542,13503
153,325,2023-07-01,20255,13680
154,1936,2023-07-01,57956,3288
155,1643,2023-07-01,47982,5474
156,1756,2023-10-01,34858,2136
157,1278,2023-01-01,43345,12254
158,1292,2024-06-01,52591,7675
159,1332,2024-06-01,55389,1374
160,658,2024-02-01,17483,10113
161,1430,2024-10-01,22323,6247
162,1225,2024-03-01,46754,10608
163,384,2023-11-01,21879,4757
164,341,2024-08-01,56043,11773
165,932,2023-12-01,74751,3018
