Sl. No.,State/UT,Fund Allocated during the Year (amount in Rs. Crores) - 2018-19,Fund Allocated during the Year (amount in Rs. Crores) - 2019-20,Fund Allocated during the Year (amount in Rs. Crores) - 2020-21,Fund Allocated during the Year (amount in Rs. Crores) - 2021-22,Fund Allocated during the Year (amount in Rs. Crores) - 2022-23,Fund Allocated during the Year (amount in Rs. Crores) - Total
1,Andhra Pradesh,NA,6.36,152.28,77.58,75.06,311.28
2,Arunachal Pradesh,1.09,NA,NA,NA,NA,1.09
3,Assam,2.63,0.36,12,0,24.1,39.09
4,Bihar,NA,10.2,211,88.97,7.09,317.26
5,Chandigarh,NA,8.28,5,4.61,6.87,24.76
6,Chhattisgarh,NA,12.06,108,68.7,57.94,246.7
7,Delhi,NA,0,0,11.25,22.5,33.75
8,Gujarat,NA,12,405,217.71,173.29,808
9,Haryana,NA,NA,48,6.25,19.28,73.53
10,Himachal Pradesh,NA,0.24,10,0.48,3.59,14.31
11,Jammu and Kashmir,2.56,0.12,8,12.84,32.5,56.02
12,Jharkhand,NA,6,159,72.44,42,279.44
13,Karnataka,NA,6.3,280.52,154.67,128.52,570.01
14,Madhya Pradesh,NA,20.6,300.52,151.2,135.04,607.36
15,Maharashtra,NA,39.85,804.4,453.24,386.83,1684.32
16,Meghalaya,1.61,0,3,0,0.45,5.06
17,Mizoram,1.32,NA,NA,NA,NA,1.32
18,Manipur,1.93,NA,NA,NA,NA,1.93
19,Nagaland,0.35,0.12,6,0.93,3.95,11.35
20,Odisha,NA,6.18,6.04,3.64,38.52,54.38
21,Punjab,NA,12.48,105.04,33.75,56.88,208.15
22,Puducherry,0.42,NA,NA,NA,NA,0.42
23,Rajasthan,NA,18.12,284.8,122.89,103.76,529.57
24,Sikkim,0.84,NA,NA,NA,NA,0.84
25,Tamil Nadu,NA,0.06,236,131.7,129.22,496.98
26,Telangana,NA,11,236.76,118.79,92.96,459.51
27,Tripura,1.26,NA,NA,NA,NA,1.26
28,Uttar Pradesh,NA,48.47,726.16,218.63,672.83,1666.09
29,Uttarakhand,NA,0.12,11,5.67,22.3,39.09
30,West Bengal,NA,6,432,165.6,173.42,777.02
Total,Total,14.01,224.92,4550.52,2121.54,2408.9,9319.9
